samples =  4 ; cumul. samples =  7843
samples =  5 ; cumul. samples =  7848
samples =  6 ; cumul. samples =  7854
samples =  14 ; cumul. samples =  7868
samples =  2 ; cumul. samples =  7870
samples =  6 ; cumul. samples =  7876
samples =  7 ; cumul. samples =  7883
samples =  8 ; cumul. samples =  7891
samples =  9 ; cumul. samples =  7900
samples =  14 ; cumul. samples =  7914
samples =  15 ; cumul. samples =  7929
samples =  4 ; cumul. samples =  7933
samples =  10 ; cumul. samples =  7943
samples =  10 ; cumul. samples =  7953
samples =  11 ; cumul. samples =  7964
samples =  11 ; cumul. samples =  7975
samples =  11 ; cumul. samples =  7986
samples =  2 ; cumul. samples =  7988
samples =  23 ; cumul. samples =  8011
samples =  11 ; cumul. samples =  8022
samples =  7 ; cumul. samples =  8029
samples =  7 ; cumul. samples =  8036
samples =  4 ; cumul. samples =  8040
samples =  4 ; cumul. samples =  8044
samples =  2 ; cumul. samples =  8046
samples =  8 ; cumul. samples =  8054
samples =  13 ; cumul. samples =  8067
samples =  11 ; cumul. samples =  8078
samples =  21 ; cumul. samples =  8099
samples =  20 ; cumul. samples =  8119
samples =  26 ; cumul. samples =  8145
samples =  18 ; cumul. samples =  8163
samples =  21 ; cumul. samples =  8184
samples =  21 ; cumul. samples =  8205
samples =  5 ; cumul. samples =  8210
samples =  12 ; cumul. samples =  8222
samples =  14 ; cumul. samples =  8236
samples =  89 ; cumul. samples =  8325
samples =  27 ; cumul. samples =  8352
samples =  31 ; cumul. samples =  8383
samples =  12 ; cumul. samples =  8395
samples =  3 ; cumul. samples =  8398
samples =  3 ; cumul. samples =  8401
samples =  16 ; cumul. samples =  8417
samples =  6 ; cumul. samples =  8423
samples =  23 ; cumul. samples =  8446
samples =  18 ; cumul. samples =  8464
samples =  10 ; cumul. samples =  8474
samples =  20 ; cumul. samples =  8494
samples =  14 ; cumul. samples =  8508
samples =  12 ; cumul. samples =  8520
samples =  12 ; cumul. samples =  8532
samples =  29 ; cumul. samples =  8561
samples =  8 ; cumul. samples =  8569
samples =  5 ; cumul. samples =  8574
samples =  3 ; cumul. samples =  8577
samples =  2 ; cumul. samples =  8579
samples =  4 ; cumul. samples =  8583
samples =  1 ; cumul. samples =  8584
samples =  4 ; cumul. samples =  8588
samples =  1 ; cumul. samples =  8589
samples =  1 ; cumul. samples =  8590
samples =  1 ; cumul. samples =  8591
samples =  2 ; cumul. samples =  8593
samples =  9 ; cumul. samples =  8602
samples =  7 ; cumul. samples =  8609
samples =  15 ; cumul. samples =  8624
samples =  9 ; cumul. samples =  8633
samples =  2 ; cumul. samples =  8635
samples =  35 ; cumul. samples =  8670
samples =  36 ; cumul. samples =  8706
samples =  22 ; cumul. samples =  8728
samples =  4 ; cumul. samples =  8732
samples =  2 ; cumul. samples =  8734
samples =  4 ; cumul. samples =  8738
samples =  23 ; cumul. samples =  8761
samples =  10 ; cumul. samples =  8771
samples =  6 ; cumul. samples =  8777
samples =  16 ; cumul. samples =  8793
samples =  33 ; cumul. samples =  8826
samples =  20 ; cumul. samples =  8846
samples =  13 ; cumul. samples =  8859
samples =  20 ; cumul. samples =  8879
samples =  3 ; cumul. samples =  8882
samples =  2 ; cumul. samples =  8884
samples =  2 ; cumul. samples =  8886
samples =  1 ; cumul. samples =  8887
samples =  7 ; cumul. samples =  8894
samples =  12 ; cumul. samples =  8906
samples =  2 ; cumul. samples =  8908
samples =  16 ; cumul. samples =  8924
samples =  21 ; cumul. samples =  8945
samples =  18 ; cumul. samples =  8963
samples =  16 ; cumul. samples =  8979
samples =  12 ; cumul. samples =  8991
samples =  8 ; cumul. samples =  8999
samples =  31 ; cumul. samples =  9030
samples =  1 ; cumul. samples =  9031
samples =  3 ; cumul. samples =  9034
samples =  6 ; cumul. samples =  9040
samples =  17 ; cumul. samples =  9057
samples =  33 ; cumul. samples =  9090
samples =  12 ; cumul. samples =  9102
samples =  43 ; cumul. samples =  9145
samples =  15 ; cumul. samples =  9160
samples =  10 ; cumul. samples =  9170
samples =  12 ; cumul. samples =  9182
samples =  22 ; cumul. samples =  9204
samples =  17 ; cumul. samples =  9221
samples =  15 ; cumul. samples =  9236
samples =  13 ; cumul. samples =  9249
samples =  13 ; cumul. samples =  9262
samples =  11 ; cumul. samples =  9273
samples =  10 ; cumul. samples =  9283
samples =  22 ; cumul. samples =  9305
samples =  22 ; cumul. samples =  9327
samples =  18 ; cumul. samples =  9345
samples =  12 ; cumul. samples =  9357
samples =  6 ; cumul. samples =  9363
samples =  10 ; cumul. samples =  9373
samples =  16 ; cumul. samples =  9389
samples =  20 ; cumul. samples =  9409
samples =  13 ; cumul. samples =  9422
samples =  17 ; cumul. samples =  9439
samples =  12 ; cumul. samples =  9451
samples =  13 ; cumul. samples =  9464
samples =  26 ; cumul. samples =  9490
samples =  16 ; cumul. samples =  9506
samples =  19 ; cumul. samples =  9525
samples =  14 ; cumul. samples =  9539
samples =  13 ; cumul. samples =  9552
samples =  12 ; cumul. samples =  9564
samples =  16 ; cumul. samples =  9580
samples =  12 ; cumul. samples =  9592
samples =  10 ; cumul. samples =  9602
samples =  11 ; cumul. samples =  9613
samples =  9 ; cumul. samples =  9622
samples =  14 ; cumul. samples =  9636
samples =  16 ; cumul. samples =  9652
samples =  10 ; cumul. samples =  9662
samples =  12 ; cumul. samples =  9674
samples =  25 ; cumul. samples =  9699
samples =  10 ; cumul. samples =  9709
samples =  18 ; cumul. samples =  9727
samples =  13 ; cumul. samples =  9740
samples =  12 ; cumul. samples =  9752
samples =  20 ; cumul. samples =  9772
samples =  6 ; cumul. samples =  9778
samples =  8 ; cumul. samples =  9786
samples =  15 ; cumul. samples =  9801
samples =  5 ; cumul. samples =  9806
samples =  13 ; cumul. samples =  9819
samples =  2 ; cumul. samples =  9821
samples =  12 ; cumul. samples =  9833
samples =  8 ; cumul. samples =  9841
samples =  7 ; cumul. samples =  9848
samples =  17 ; cumul. samples =  9865
samples =  21 ; cumul. samples =  9886
samples =  10 ; cumul. samples =  9896
samples =  9 ; cumul. samples =  9905
samples =  14 ; cumul. samples =  9919
samples =  11 ; cumul. samples =  9930
samples =  16 ; cumul. samples =  9946
samples =  13 ; cumul. samples =  9959
samples =  27 ; cumul. samples =  9986
samples =  13 ; cumul. samples =  9999
samples =  13 ; cumul. samples =  10012
samples =  7 ; cumul. samples =  10019
samples =  12 ; cumul. samples =  10031
samples =  31 ; cumul. samples =  10062
samples =  19 ; cumul. samples =  10081
samples =  23 ; cumul. samples =  10104
samples =  23 ; cumul. samples =  10127
samples =  13 ; cumul. samples =  10140
samples =  12 ; cumul. samples =  10152
samples =  34 ; cumul. samples =  10186
samples =  13 ; cumul. samples =  10199
samples =  12 ; cumul. samples =  10211
samples =  22 ; cumul. samples =  10233
samples =  17 ; cumul. samples =  10250
samples =  17 ; cumul. samples =  10267
samples =  17 ; cumul. samples =  10284
samples =  13 ; cumul. samples =  10297
samples =  14 ; cumul. samples =  10311
samples =  19 ; cumul. samples =  10330
samples =  12 ; cumul. samples =  10342
samples =  16 ; cumul. samples =  10358
samples =  17 ; cumul. samples =  10375
samples =  29 ; cumul. samples =  10404
samples =  41 ; cumul. samples =  10445
samples =  20 ; cumul. samples =  10465
samples =  24 ; cumul. samples =  10489
samples =  16 ; cumul. samples =  10505
samples =  9 ; cumul. samples =  10514
samples =  52 ; cumul. samples =  10566
samples =  3 ; cumul. samples =  10569
samples =  7 ; cumul. samples =  10576
samples =  6 ; cumul. samples =  10582
samples =  6 ; cumul. samples =  10588
samples =  5 ; cumul. samples =  10593
samples =  19 ; cumul. samples =  10612
samples =  4 ; cumul. samples =  10616
samples =  7 ; cumul. samples =  10623
samples =  14 ; cumul. samples =  10637
samples =  9 ; cumul. samples =  10646
samples =  7 ; cumul. samples =  10653
samples =  25 ; cumul. samples =  10678
samples =  22 ; cumul. samples =  10700
samples =  9 ; cumul. samples =  10709
samples =  23 ; cumul. samples =  10732
samples =  32 ; cumul. samples =  10764
samples =  21 ; cumul. samples =  10785
samples =  32 ; cumul. samples =  10817
samples =  19 ; cumul. samples =  10836
samples =  6 ; cumul. samples =  10842
samples =  2 ; cumul. samples =  10844
samples =  1 ; cumul. samples =  10845
samples =  17 ; cumul. samples =  10862
samples =  12 ; cumul. samples =  10874
samples =  8 ; cumul. samples =  10882
samples =  9 ; cumul. samples =  10891
samples =  36 ; cumul. samples =  10927
samples =  14 ; cumul. samples =  10941
samples =  6 ; cumul. samples =  10947
samples =  3 ; cumul. samples =  10950
samples =  5 ; cumul. samples =  10955
samples =  3 ; cumul. samples =  10958
samples =  4 ; cumul. samples =  10962
samples =  19 ; cumul. samples =  10981
samples =  10 ; cumul. samples =  10991
samples =  13 ; cumul. samples =  11004
samples =  21 ; cumul. samples =  11025
samples =  20 ; cumul. samples =  11045
samples =  18 ; cumul. samples =  11063
samples =  4 ; cumul. samples =  11067
samples =  16 ; cumul. samples =  11083
samples =  3 ; cumul. samples =  11086
samples =  3 ; cumul. samples =  11089
samples =  9 ; cumul. samples =  11098
samples =  16 ; cumul. samples =  11114
samples =  20 ; cumul. samples =  11134
samples =  16 ; cumul. samples =  11150
samples =  10 ; cumul. samples =  11160
samples =  9 ; cumul. samples =  11169
samples =  5 ; cumul. samples =  11174
samples =  16 ; cumul. samples =  11190
samples =  14 ; cumul. samples =  11204
samples =  11 ; cumul. samples =  11215
samples =  1 ; cumul. samples =  11216
samples =  3 ; cumul. samples =  11219
samples =  1 ; cumul. samples =  11220
samples =  3 ; cumul. samples =  11223
samples =  2 ; cumul. samples =  11225
samples =  15 ; cumul. samples =  11240
samples =  11 ; cumul. samples =  11251
samples =  2 ; cumul. samples =  11253
samples =  7 ; cumul. samples =  11260
samples =  1 ; cumul. samples =  11261
samples =  5 ; cumul. samples =  11266
samples =  4 ; cumul. samples =  11270
samples =  7 ; cumul. samples =  11277
